	Crosshead,	Load,	Time,	Video,	Axial,	Traverse
	2,99664377234876,	72,2130859375,	35,9669990539551,	38,4090003967285,	0,00558478990569711,	-0,000866316026076674
	2,99825496040285,	72,2324375,	35,9869995117188,	38,4090003967285,	0,00558478990569711,	-0,000866316026076674
	2,9999001417309,	72,248109375,	36,0069999694824,	38,4090003967285,	0,00558478990569711,	-0,000866316026076674
	3,00157861784101,	72,273703125,	36,0270004272461,	38,4678993225098,	0,00560936983674765,	-0,000850912008900195
	3,00324033014476,	72,2950703125,	36,0470008850098,	38,4678993225098,	0,00560936983674765,	-0,000850912008900195
	3,00488527864218,	72,3150703125,	36,0670013427734,	38,4678993225098,	0,00560936983674765,	-0,000850912008900195
	3,00649669952691,	72,3343984375,	36,0870018005371,	38,5265998840332,	0,00561620993539691,	-0,000852480006869882
	3,00809112377465,	72,351265625,	36,1069984436035,	38,5265998840332,	0,00561620993539691,	-0,000852480006869882
	3,00971930846572,	72,3674921875,	36,1269989013672,	38,5265998840332,	0,00561620993539691,	-0,000852480006869882
	3,01138125360012,	72,3895234375,	36,1469993591309,	38,5265998840332,	0,00561620993539691,	-0,000852480006869882
	3,01304296590388,	72,4171015625,	36,1669998168945,	38,5853996276855,	0,00562003022059798,	-0,00086216302588582
	3,01472144201398,	72,43646875,	36,1870002746582,	38,5853996276855,	0,00562003022059798,	-0,00086216302588582
	3,01626557484269,	72,4521484375,	36,2070007324219,	38,5853996276855,	0,00562003022059798,	-0,00086216302588582
	3,01777618005872,	72,4601484375,	36,2270011901855,	38,7029991149902,	0,00562869990244508,	-0,000847782008349895
	3,0193708371371,	72,4813828125,	36,2470016479492,	38,7029991149902,	0,00562869990244508,	-0,000847782008349895
	3,02099902182817,	72,5008125,	36,2669982910156,	38,7029991149902,	0,00562869990244508,	-0,000847782008349895
	3,02264397032559,	72,521984375,	36,2869987487793,	38,7029991149902,	0,00562869990244508,	-0,000847782008349895
	3,02432244643569,	72,542265625,	36,306999206543,	38,7619018554688,	0,00568564981222153,	-0,000854502024594694
	3,02603468298912,	72,573078125,	36,3269996643066,	38,7619018554688,	0,00568564981222153,	-0,000854502024594694
	3,02774668671191,	72,59075,	36,3470001220703,	38,7619018554688,	0,00568564981222153,	-0,000854502024594694
	3,02945869043469,	72,616359375,	36,367000579834,	38,8207015991211,	0,00569794001057744,	-0,00085042102728039
